countryName,age,gender,ruralUrban,educationLevel,fullTime,children,basicIncomeAwareness,countAwareness,basicIncomeVote,countVote,basicIncomeEffect,countEffect
Austria,61,male,rural,no,no,no,I know something about it,0,I would not vote,0,basicIncomeEffect,1
Austria,57,male,urban,high,yes,yes,I understand it fully,0,I would probably vote for it,0,None of the above,0
Austria,32,male,urban,NA,no,no,I have heard just a little about it,0,I would not vote,0,A basic income would not affect my work choices,0
Austria,45,male,rural,high,yes,yes,I have heard just a little about it,0,I would probably vote for it,0,I would gain additional skills,0
Austria,41,female,urban,high,yes,yes,I have heard just a little about it,0,I would probably vote for it,0,I would work less,0
Austria,26,female,rural,high,yes,no,I understand it fully,0,I would vote against it,0,None of the above,0
Austria,26,female,urban,medium,no,no,I know something about it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,47,male,urban,medium,yes,no,I know something about it,0,I would probably vote for it,0,I would work as a freelancer,0
Austria,34,female,urban,medium,yes,no,I have heard just a little about it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,22,female,urban,no,no,yes,I understand it fully,0,I would vote for it,0,None of the above,0
Austria,49,male,urban,high,yes,no,I know something about it,0,I would probably vote for it,0,I would do more volunteering work,0
Austria,58,male,urban,medium,no,yes,I know something about it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,25,female,urban,low,yes,no,I have never heard of it,0,I would probably vote for it,0,I would stop working,0
Austria,40,male,rural,medium,no,yes,I have heard just a little about it,0,I would vote for it,0,I would gain additional skills,0
Austria,37,male,rural,medium,no,no,I know something about it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,48,male,urban,medium,yes,yes,I know something about it,0,I would probably vote for it,0,I would gain additional skills,0
Austria,31,male,rural,low,no,yes,I know something about it,0,I would vote against it,0,A basic income would not affect my work choices,0
Austria,26,female,urban,high,no,no,I know something about it,0,I would probably vote for it,1,I would stop working,0
Austria,17,female,urban,low,no,no,I have never heard of it,0,I would probably vote against it,0,I would work as a freelancer,0
Austria,34,male,rural,medium,yes,yes,I have heard just a little about it,0,I would probably vote against it,0,I would gain additional skills,0
Austria,27,male,urban,low,yes,yes,I have heard just a little about it,0,I would vote for it,0,None of the above,0
