countryCode2,countryCode3,age,gender,ruralUrban,educationLevel,fullTime,children,basicIncomeAwareness,basicIncomeVote,basicIncomeEffect,basicIncomeArgumentsFor,basicIncomeArgumentsAgainst,ageGroup,weight
AT,AUT,61,male,rural,no,no,no,I know something about it,I would not vote,None of the above,None of the above,None of the above,40_65,1.105.534.474
AT,AUT,57,male,urban,high,yes,yes,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,|It increases appreciation for household work and volunteering || It encourages financial independence and self-responsibility || It reduces anxiety about financing basic needs|,It might encourage people to stop working,40_65,1.533.248.826
AT,AUT,32,male,urban,NA,no,no,I have heard just a little about it,I would not vote,‰Û_ gain additional skills,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,26_39,0.977591916
AT,AUT,45,male,rural,high,yes,yes,I have heard just a little about it,I would probably vote for it,‰Û_ work less,It reduces anxiety about financing basic needs,None of the above,40_65,1.105.534.474
AT,AUT,41,female,urban,high,yes,yes,I have heard just a little about it,I would probably vote for it,None of the above,It reduces anxiety about financing basic needs,|It is impossible to finance || It might encourage people to stop working || It increases dependence on the state|,40_65,58.731.136
AT,AUT,26,female,rural,high,yes,no,I understand it fully,I would vote against it,A basic income would not affect my work choices,|It encourages financial independence and self-responsibility || It reduces anxiety about financing basic needs|,|It is impossible to finance || It might encourage people to stop working || It is against the principle of linking merit and reward|,26_39,0.688873084
AT,AUT,26,female,urban,medium,no,no,I know something about it,I would probably vote for it,‰Û_ work as a freelancer,It reduces anxiety about financing basic needs,|Foreigners might come to my country and take advantage of the benefit || It might encourage people to stop working || It increases dependence on the state|,26_39,0.955387527
AT,AUT,47,male,urban,medium,yes,no,I know something about it,I would probably vote for it,A basic income would not affect my work choices,|It increases appreciation for household work and volunteering || It reduces anxiety about financing basic needs|,|It might encourage people to stop working || Foreigners might come to my country and take advantage of the benefit || It is impossible to finance || Only the people who need it most should get something from the state|,40_65,1.533.248.826
AT,AUT,34,female,urban,medium,yes,no,I have heard just a little about it,I would probably vote for it,None of the above,|It creates more equality of opportunity || It reduces anxiety about financing basic needs || It reduces bureaucracy and administrative expenses|,|Foreigners might come to my country and take advantage of the benefit || It is impossible to finance|,26_39,0.955387527
AT,AUT,22,female,urban,no,no,yes,I understand it fully,I would vote for it,‰Û_ do more volunteering work,It increases solidarity because it is funded by everyone,Foreigners might come to my country and take advantage of the benefit,14_25,1.041.864.825
AT,AUT,49,male,urban,high,yes,no,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,|It is against the principle of linking merit and reward || It might encourage people to stop working || It increases dependence on the state|,40_65,1.533.248.826
AT,AUT,58,male,urban,medium,no,yes,I know something about it,I would probably vote for it,‰Û_ stop working,It increases appreciation for household work and volunteering,|Foreigners might come to my country and take advantage of the benefit || Only the people who need it most should get something from the state || It might encourage people to stop working|,40_65,1.533.248.826
