countryCode2,countryName,age,gender,ruralUrban,educationLevel,fullTime,children,basicIncomeAwareness,basicIncomeVote,basicIncomeEffect,basicIncomeArgumentsFor,basicIncomeArgumentsAgainst,ageGroup,weight
AT,Austria,61,male,rural,no,no,no,I know something about it,I would not vote,None of the above,None of the above,None of the above,40_65,1.105.534.474
AT,Austria,57,male,urban,high,yes,yes,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,|It increases appreciation for household work and volunteering || It encourages financial independence and self-responsibility || It reduces anxiety about financing basic needs|,It might encourage people to stop working,40_65,1.533.248.826
AT,Austria,32,male,urban,NA,no,no,I have heard just a little about it,I would not vote,‰Û_ gain additional skills,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,26_39,0.977591916
AT,Austria,45,male,rural,high,yes,yes,I have heard just a little about it,I would probably vote for it,‰Û_ work less,It reduces anxiety about financing basic needs,None of the above,40_65,1.105.534.474
AT,Austria,41,female,urban,high,yes,yes,I have heard just a little about it,I would probably vote for it,None of the above,It reduces anxiety about financing basic needs,|It is impossible to finance || It might encourage people to stop working || It increases dependence on the state|,40_65,58.731.136
AT,Austria,26,female,rural,high,yes,no,I understand it fully,I would vote against it,A basic income would not affect my work choices,|It encourages financial independence and self-responsibility || It reduces anxiety about financing basic needs|,|It is impossible to finance || It might encourage people to stop working || It is against the principle of linking merit and reward|,26_39,0.688873084
AT,Austria,26,female,urban,medium,no,no,I know something about it,I would probably vote for it,‰Û_ work as a freelancer,It reduces anxiety about financing basic needs,|Foreigners might come to my country and take advantage of the benefit || It might encourage people to stop working || It increases dependence on the state|,26_39,0.955387527
AT,Austria,47,male,urban,medium,yes,no,I know something about it,I would probably vote for it,A basic income would not affect my work choices,|It increases appreciation for household work and volunteering || It reduces anxiety about financing basic needs|,|It might encourage people to stop working || Foreigners might come to my country and take advantage of the benefit || It is impossible to finance || Only the people who need it most should get something from the state|,40_65,1.533.248.826
AT,Austria,34,female,urban,medium,yes,no,I have heard just a little about it,I would probably vote for it,None of the above,|It creates more equality of opportunity || It reduces anxiety about financing basic needs || It reduces bureaucracy and administrative expenses|,|Foreigners might come to my country and take advantage of the benefit || It is impossible to finance|,26_39,0.955387527
AT,Austria,22,female,urban,no,no,yes,I understand it fully,I would vote for it,‰Û_ do more volunteering work,It increases solidarity because it is funded by everyone,Foreigners might come to my country and take advantage of the benefit,14_25,1.041.864.825
AT,Austria,49,male,urban,high,yes,no,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,|It is against the principle of linking merit and reward || It might encourage people to stop working || It increases dependence on the state|,40_65,1.533.248.826
AT,Austria,58,male,urban,medium,no,yes,I know something about it,I would probably vote for it,‰Û_ stop working,It increases appreciation for household work and volunteering,|Foreigners might come to my country and take advantage of the benefit || Only the people who need it most should get something from the state || It might encourage people to stop working|,40_65,1.533.248.826
AT,Austria,25,female,urban,low,yes,no,I have never heard of it,I would probably vote for it,‰Û_ gain additional skills,|It reduces anxiety about financing basic needs || It creates more equality of opportunity || It encourages financial independence and self-responsibility || It increases appreciation for household work and volunteering|,|It might encourage people to stop working || It increases dependence on the state || Foreigners might come to my country and take advantage of the benefit || It is impossible to finance|,14_25,1.041.864.825
AT,Austria,40,male,rural,medium,no,yes,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,|It might encourage people to stop working || Foreigners might come to my country and take advantage of the benefit|,40_65,1.105.534.474
AT,Austria,37,male,rural,medium,no,no,I know something about it,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,|It might encourage people to stop working || It is impossible to finance || Foreigners might come to my country and take advantage of the benefit || Only the people who need it most should get something from the state|,26_39,0.704883347
AT,Austria,48,male,urban,medium,yes,yes,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working,40_65,1.533.248.826
AT,Austria,31,male,rural,low,no,yes,I know something about it,I would vote against it,‰Û_ stop working,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit,26_39,0.704883347
AT,Austria,26,female,urban,high,no,no,I know something about it,I would probably vote for it,‰Û_ work as a freelancer,|It reduces anxiety about financing basic needs || It increases solidarity because it is funded by everyone || It creates more equality of opportunity|,|It is against the principle of linking merit and reward || It might encourage people to stop working || It is impossible to finance || Only the people who need it most should get something from the state|,26_39,0.955387527
AT,Austria,17,female,urban,low,no,no,I have never heard of it,I would probably vote against it,‰Û_ gain additional skills,It creates more equality of opportunity,|It is impossible to finance || It might encourage people to stop working || Foreigners might come to my country and take advantage of the benefit || Only the people who need it most should get something from the state|,14_25,1.041.864.825
AT,Austria,34,male,rural,medium,yes,yes,I have heard just a little about it,I would probably vote against it,None of the above,It reduces anxiety about financing basic needs,|It might encourage people to stop working || It is against the principle of linking merit and reward || Only the people who need it most should get something from the state || Foreigners might come to my country and take advantage of the benefit|,26_39,0.704883347
AT,Austria,27,male,urban,low,yes,yes,I have heard just a little about it,I would vote for it,‰Û_ gain additional skills,It increases solidarity because it is funded by everyone,Foreigners might come to my country and take advantage of the benefit,26_39,0.977591916
AT,Austria,40,male,urban,medium,yes,yes,I understand it fully,I would probably vote against it,‰Û_ gain additional skills,|It increases appreciation for household work and volunteering || It encourages financial independence and self-responsibility|,|It might encourage people to stop working || It increases dependence on the state || It is against the principle of linking merit and reward || It is impossible to finance || Foreigners might come to my country and take advantage of the benefit || Only the people who need it most should get something from the state|,40_65,1.533.248.826
AT,Austria,15,female,urban,no,no,no,I have heard just a little about it,I would probably vote for it,‰Û_ do more volunteering work,It increases appreciation for household work and volunteering,It is impossible to finance,14_25,1.041.864.825
AT,Austria,25,female,rural,NA,yes,no,I know something about it,I would vote for it,A basic income would not affect my work choices,|It reduces anxiety about financing basic needs || It creates more equality of opportunity || It encourages financial independence and self-responsibility || It increases solidarity because it is funded by everyone || It increases appreciation for household work and volunteering || It reduces bureaucracy and administrative expenses|,It might encourage people to stop working,14_25,0.751226717
AT,Austria,27,male,rural,high,yes,no,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,|It creates more equality of opportunity || It reduces anxiety about financing basic needs || It increases appreciation for household work and volunteering|,Only the people who need it most should get something from the state,26_39,0.704883347
AT,Austria,35,female,urban,medium,no,yes,I know something about it,I would probably vote for it,A basic income would not affect my work choices,|It reduces anxiety about financing basic needs || It creates more equality of opportunity || It encourages financial independence and self-responsibility|,It might encourage people to stop working,26_39,0.955387527
AT,Austria,48,male,rural,medium,yes,no,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state,40_65,1.105.534.474
AT,Austria,51,male,rural,low,no,yes,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,|It reduces anxiety about financing basic needs || It increases appreciation for household work and volunteering|,|Only the people who need it most should get something from the state || It might encourage people to stop working || It is impossible to finance || Foreigners might come to my country and take advantage of the benefit || It is against the principle of linking merit and reward|,40_65,1.105.534.474
AT,Austria,28,female,rural,medium,no,yes,I know something about it,I would probably vote against it,‰Û_ gain additional skills,|It reduces anxiety about financing basic needs || It increases appreciation for household work and volunteering|,|It is impossible to finance || Foreigners might come to my country and take advantage of the benefit || It is against the principle of linking merit and reward || It might encourage people to stop working || Only the people who need it most should get something from the state || It increases dependence on the state|,26_39,0.688873084
AT,Austria,40,male,rural,NA,yes,yes,I have never heard of it,I would vote for it,‰Û_ work less,None of the above,None of the above,40_65,1.105.534.474
AT,Austria,17,male,rural,low,no,no,I know something about it,I would probably vote for it,A basic income would not affect my work choices,|It reduces anxiety about financing basic needs || It increases appreciation for household work and volunteering|,|It increases dependence on the state || Foreigners might come to my country and take advantage of the benefit|,14_25,0.675697961
AT,Austria,35,female,urban,high,yes,no,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,|It might encourage people to stop working || It increases dependence on the state || It is impossible to finance|,26_39,0.955387527
AT,Austria,25,male,urban,medium,no,no,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,None of the above,It might encourage people to stop working,14_25,0.93711515
AT,Austria,42,male,urban,high,yes,no,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,|It reduces bureaucracy and administrative expenses || It reduces anxiety about financing basic needs || It increases solidarity because it is funded by everyone || It increases appreciation for household work and volunteering || It encourages financial independence and self-responsibility || It creates more equality of opportunity|,It increases dependence on the state,40_65,1.533.248.826
AT,Austria,37,male,rural,low,yes,yes,I have heard just a little about it,I would probably vote against it,‰Û_ do more volunteering work,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit,26_39,0.704883347
AT,Austria,22,female,rural,medium,yes,no,I have heard just a little about it,I would probably vote against it,‰Û_ work less,None of the above,None of the above,14_25,0.751226717
AT,Austria,45,female,urban,high,yes,no,I know something about it,I would probably vote for it,‰Û_ do more volunteering work,It reduces anxiety about financing basic needs,It increases dependence on the state,40_65,58.731.136
